dataset_id,category,subcategory,indicator,item,region,year_label,year_num,value,unit,data_kind
manufacturing_overview_official,産業,製造業,事業所数,総数,西条市,令和3年,2021,240,所,actual
manufacturing_overview_official,産業,製造業,従業者数,総数,西条市,令和3年,2021,9226,人,actual
manufacturing_overview_official,産業,製造業,製造品出荷額,総数,西条市,令和3年,2021,72715240,万円,actual
manufacturing_overview_official,産業,製造業,付加価値額,総数,西条市,令和3年,2021,14381714,万円,actual
manufacturing_overview_official,産業,製造業,事業所数,食料品,西条市,令和3年,2021,24,所,actual
manufacturing_overview_official,産業,製造業,従業者数,食料品,西条市,令和3年,2021,627,人,actual
manufacturing_overview_official,産業,製造業,製造品出荷額,食料品,西条市,令和3年,2021,882166,万円,actual
manufacturing_overview_official,産業,製造業,付加価値額,食料品,西条市,令和3年,2021,400135,万円,actual
manufacturing_overview_official,産業,製造業,事業所数,飲料・たばこ,西条市,令和3年,2021,9,所,actual
manufacturing_overview_official,産業,製造業,従業者数,飲料・たばこ,西条市,令和3年,2021,210,人,actual
manufacturing_overview_official,産業,製造業,製造品出荷額,飲料・たばこ,西条市,令和3年,2021,4003642,万円,actual
manufacturing_overview_official,産業,製造業,付加価値額,飲料・たばこ,西条市,令和3年,2021,619825,万円,actual
manufacturing_overview_official,産業,製造業,事業所数,繊維工業,西条市,令和3年,2021,26,所,actual
manufacturing_overview_official,産業,製造業,従業者数,繊維工業,西条市,令和3年,2021,657,人,actual
manufacturing_overview_official,産業,製造業,製造品出荷額,繊維工業,西条市,令和3年,2021,1388890,万円,actual
manufacturing_overview_official,産業,製造業,付加価値額,繊維工業,西条市,令和3年,2021,573101,万円,actual
manufacturing_overview_official,産業,製造業,事業所数,木材・木製品,西条市,令和3年,2021,5,所,actual
manufacturing_overview_official,産業,製造業,従業者数,木材・木製品,西条市,令和3年,2021,204,人,actual
manufacturing_overview_official,産業,製造業,製造品出荷額,木材・木製品,西条市,令和3年,2021,776080,万円,actual
manufacturing_overview_official,産業,製造業,付加価値額,木材・木製品,西条市,令和3年,2021,161076,万円,actual
manufacturing_overview_official,産業,製造業,事業所数,パルプ・紙,西条市,令和3年,2021,8,所,actual
