dataset_id,category,subcategory,indicator,region,year_label,year_num,value,unit
manufacturing_trend_official,産業,製造業,事業所数,西条市,平成21年,2009,266,所
manufacturing_trend_official,産業,製造業,従業者数,西条市,平成21年,2009,10027,人
manufacturing_trend_official,産業,製造業,製造品出荷額,西条市,平成21年,2009,67781102,万円
manufacturing_trend_official,産業,製造業,事業所数,西条市,平成22年,2010,253,所
manufacturing_trend_official,産業,製造業,従業者数,西条市,平成22年,2010,9868,人
manufacturing_trend_official,産業,製造業,製造品出荷額,西条市,平成22年,2010,81137131,万円
manufacturing_trend_official,産業,製造業,事業所数,西条市,平成23年,2011,282,所
manufacturing_trend_official,産業,製造業,従業者数,西条市,平成23年,2011,10444,人
manufacturing_trend_official,産業,製造業,製造品出荷額,西条市,平成23年,2011,88772410,万円
manufacturing_trend_official,産業,製造業,事業所数,西条市,平成24年,2012,260,所
manufacturing_trend_official,産業,製造業,従業者数,西条市,平成24年,2012,10277,人
manufacturing_trend_official,産業,製造業,製造品出荷額,西条市,平成24年,2012,88599347,万円
manufacturing_trend_official,産業,製造業,事業所数,西条市,平成25年,2013,253,所
manufacturing_trend_official,産業,製造業,従業者数,西条市,平成25年,2013,9774,人
manufacturing_trend_official,産業,製造業,製造品出荷額,西条市,平成25年,2013,79957119,万円
manufacturing_trend_official,産業,製造業,事業所数,西条市,平成26年,2014,246,所
manufacturing_trend_official,産業,製造業,従業者数,西条市,平成26年,2014,9000,人
manufacturing_trend_official,産業,製造業,製造品出荷額,西条市,平成26年,2014,85934343,万円
manufacturing_trend_official,産業,製造業,事業所数,西条市,平成28年,2016,258,所
manufacturing_trend_official,産業,製造業,従業者数,西条市,平成28年,2016,8737,人
manufacturing_trend_official,産業,製造業,製造品出荷額,西条市,平成28年,2016,96334579,万円
manufacturing_trend_official,産業,製造業,事業所数,西条市,平成29年,2017,235,所
manufacturing_trend_official,産業,製造業,従業者数,西条市,平成29年,2017,8961,人
manufacturing_trend_official,産業,製造業,製造品出荷額,西条市,平成29年,2017,71973293,万円
manufacturing_trend_official,産業,製造業,事業所数,西条市,平成30年,2018,237,所
manufacturing_trend_official,産業,製造業,従業者数,西条市,平成30年,2018,9180,人
manufacturing_trend_official,産業,製造業,製造品出荷額,西条市,平成30年,2018,82515763,万円
manufacturing_trend_official,産業,製造業,事業所数,西条市,令和元年,2019,233,所
manufacturing_trend_official,産業,製造業,従業者数,西条市,令和元年,2019,9395,人
manufacturing_trend_official,産業,製造業,製造品出荷額,西条市,令和元年,2019,84504479,万円
manufacturing_trend_official,産業,製造業,事業所数,西条市,令和2年,2020,223,所
manufacturing_trend_official,産業,製造業,従業者数,西条市,令和2年,2020,9383,人
manufacturing_trend_official,産業,製造業,製造品出荷額,西条市,令和2年,2020,79470089,万円
manufacturing_trend_official,産業,製造業,事業所数,西条市,令和3年,2021,240,所
manufacturing_trend_official,産業,製造業,従業者数,西条市,令和3年,2021,9226,人
manufacturing_trend_official,産業,製造業,製造品出荷額,西条市,令和3年,2021,72715240,万円
