dataset_id,category,subcategory,indicator,region,year_label,year_num,fiscal_or_calendar,value,unit,sex,data_kind,comparable,source_title,source_table,source_yearbook,source_department,notes
population_dynamics_official,人口,人口動態,出生,西条市,令和2年度,2020,fiscal,666,人,na,actual,True,西条市統計データ（2026年版）,12. 人口動態,2026,市民課,転入・転出数は職権記載削除等を除く
population_dynamics_official,人口,人口動態,死亡,西条市,令和2年度,2020,fiscal,1522,人,na,actual,True,西条市統計データ（2026年版）,12. 人口動態,2026,市民課,転入・転出数は職権記載削除等を除く
population_dynamics_official,人口,人口動態,自然増加,西条市,令和2年度,2020,fiscal,-856,人,na,actual,True,西条市統計データ（2026年版）,12. 人口動態,2026,市民課,転入・転出数は職権記載削除等を除く
population_dynamics_official,人口,人口動態,転入,西条市,令和2年度,2020,fiscal,2789,人,na,actual,True,西条市統計データ（2026年版）,12. 人口動態,2026,市民課,転入・転出数は職権記載削除等を除く
population_dynamics_official,人口,人口動態,転出,西条市,令和2年度,2020,fiscal,3071,人,na,actual,True,西条市統計データ（2026年版）,12. 人口動態,2026,市民課,転入・転出数は職権記載削除等を除く
population_dynamics_official,人口,人口動態,社会増加,西条市,令和2年度,2020,fiscal,-282,人,na,actual,True,西条市統計データ（2026年版）,12. 人口動態,2026,市民課,転入・転出数は職権記載削除等を除く
population_dynamics_official,人口,人口動態,人口増加,西条市,令和2年度,2020,fiscal,-1138,人,na,actual,True,西条市統計データ（2026年版）,12. 人口動態,2026,市民課,転入・転出数は職権記載削除等を除く
population_dynamics_official,人口,人口動態,出生,西条市,令和3年度,2021,fiscal,650,人,na,actual,True,西条市統計データ（2026年版）,12. 人口動態,2026,市民課,転入・転出数は職権記載削除等を除く
population_dynamics_official,人口,人口動態,死亡,西条市,令和3年度,2021,fiscal,1459,人,na,actual,True,西条市統計データ（2026年版）,12. 人口動態,2026,市民課,転入・転出数は職権記載削除等を除く
population_dynamics_official,人口,人口動態,自然増加,西条市,令和3年度,2021,fiscal,-809,人,na,actual,True,西条市統計データ（2026年版）,12. 人口動態,2026,市民課,転入・転出数は職権記載削除等を除く
population_dynamics_official,人口,人口動態,転入,西条市,令和3年度,2021,fiscal,2740,人,na,actual,True,西条市統計データ（2026年版）,12. 人口動態,2026,市民課,転入・転出数は職権記載削除等を除く
population_dynamics_official,人口,人口動態,転出,西条市,令和3年度,2021,fiscal,3133,人,na,actual,True,西条市統計データ（2026年版）,12. 人口動態,2026,市民課,転入・転出数は職権記載削除等を除く
population_dynamics_official,人口,人口動態,社会増加,西条市,令和3年度,2021,fiscal,-393,人,na,actual,True,西条市統計データ（2026年版）,12. 人口動態,2026,市民課,転入・転出数は職権記載削除等を除く
population_dynamics_official,人口,人口動態,人口増加,西条市,令和3年度,2021,fiscal,-1202,人,na,actual,True,西条市統計データ（2026年版）,12. 人口動態,2026,市民課,転入・転出数は職権記載削除等を除く
population_dynamics_official,人口,人口動態,出生,西条市,令和4年度,2022,fiscal,621,人,na,actual,True,西条市統計データ（2026年版）,12. 人口動態,2026,市民課,転入・転出数は職権記載削除等を除く
