dataset_id,category,subcategory,indicator,region,year_label,year_num,fiscal_or_calendar,value,unit,sex,data_kind,comparable,source_title,source_table,source_yearbook,source_department,notes
population_total_official,人口,人口推移,総人口,西条市,平成22年,2010,calendar,114663,人,total,actual,True,西条市統計データ（2026年版）,11.世帯数、人口の推移,2026,市民課,11月1日現在・住民登録人口
population_total_official,人口,人口推移,総人口,西条市,平成23年,2011,calendar,114384,人,total,actual,True,西条市統計データ（2026年版）,11.世帯数、人口の推移,2026,市民課,11月1日現在・住民登録人口
population_total_official,人口,人口推移,総人口,西条市,平成24年,2012,calendar,114766,人,total,actual,True,西条市統計データ（2026年版）,11.世帯数、人口の推移,2026,市民課,11月1日現在・住民登録人口
population_total_official,人口,人口推移,総人口,西条市,平成25年,2013,calendar,113859,人,total,actual,True,西条市統計データ（2026年版）,11.世帯数、人口の推移,2026,市民課,11月1日現在・住民登録人口
population_total_official,人口,人口推移,総人口,西条市,平成26年,2014,calendar,113022,人,total,actual,True,西条市統計データ（2026年版）,11.世帯数、人口の推移,2026,市民課,11月1日現在・住民登録人口
population_total_official,人口,人口推移,総人口,西条市,平成27年,2015,calendar,112215,人,total,actual,True,西条市統計データ（2026年版）,11.世帯数、人口の推移,2026,市民課,11月1日現在・住民登録人口
population_total_official,人口,人口推移,総人口,西条市,平成28年,2016,calendar,111745,人,total,actual,True,西条市統計データ（2026年版）,11.世帯数、人口の推移,2026,市民課,11月1日現在・住民登録人口
population_total_official,人口,人口推移,総人口,西条市,平成29年,2017,calendar,110887,人,total,actual,True,西条市統計データ（2026年版）,11.世帯数、人口の推移,2026,市民課,11月1日現在・住民登録人口
population_total_official,人口,人口推移,総人口,西条市,平成30年,2018,calendar,109768,人,total,actual,True,西条市統計データ（2026年版）,11.世帯数、人口の推移,2026,市民課,11月1日現在・住民登録人口
population_total_official,人口,人口推移,総人口,西条市,令和元年,2019,calendar,109071,人,total,actual,True,西条市統計データ（2026年版）,11.世帯数、人口の推移,2026,市民課,11月1日現在・住民登録人口
population_total_official,人口,人口推移,総人口,西条市,令和2年,2020,calendar,108162,人,total,actual,True,西条市統計データ（2026年版）,11.世帯数、人口の推移,2026,市民課,11月1日現在・住民登録人口
population_total_official,人口,人口推移,総人口,西条市,令和3年,2021,calendar,107052,人,total,actual,True,西条市統計データ（2026年版）,11.世帯数、人口の推移,2026,市民課,11月1日現在・住民登録人口
population_total_official,人口,人口推移,総人口,西条市,令和4年,2022,calendar,105879,人,total,actual,True,西条市統計データ（2026年版）,11.世帯数、人口の推移,2026,市民課,11月1日現在・住民登録人口
population_total_official,人口,人口推移,総人口,西条市,令和5年,2023,calendar,104655,人,total,actual,True,西条市統計データ（2026年版）,11.世帯数、人口の推移,2026,市民課,11月1日現在・住民登録人口
population_total_official,人口,人口推移,総人口,西条市,令和6年,2024,calendar,103579,人,total,actual,True,西条市統計データ（2026年版）,11.世帯数、人口の推移,2026,市民課,11月1日現在・住民登録人口
population_total_official,人口,人口推移,総人口,西条市,令和7年,2025,calendar,102379,人,total,actual,True,西条市統計データ（2026年版）,11.世帯数、人口の推移,2026,市民課,11月1日現在・住民登録人口
