dataset_id,category,subcategory,indicator,region,year_label,year_num,value,unit,data_kind
vehicle_ownership_official,交通,自動車,総数,西条市,令和3年,2021,97308,台,actual
vehicle_ownership_official,交通,自動車,普通自動車,西条市,令和3年,2021,18377,台,actual
vehicle_ownership_official,交通,自動車,小型自動車,西条市,令和3年,2021,18899,台,actual
vehicle_ownership_official,交通,自動車,軽自動車,西条市,令和3年,2021,47967,台,actual
vehicle_ownership_official,交通,自動車,原付,西条市,令和3年,2021,7522,台,actual
vehicle_ownership_official,交通,自動車,総数,西条市,令和4年,2022,96988,台,actual
vehicle_ownership_official,交通,自動車,普通自動車,西条市,令和4年,2022,18582,台,actual
vehicle_ownership_official,交通,自動車,小型自動車,西条市,令和4年,2022,18496,台,actual
vehicle_ownership_official,交通,自動車,軽自動車,西条市,令和4年,2022,47900,台,actual
vehicle_ownership_official,交通,自動車,原付,西条市,令和4年,2022,7346,台,actual
vehicle_ownership_official,交通,自動車,総数,西条市,令和5年,2023,96875,台,actual
vehicle_ownership_official,交通,自動車,普通自動車,西条市,令和5年,2023,18749,台,actual
vehicle_ownership_official,交通,自動車,小型自動車,西条市,令和5年,2023,18091,台,actual
vehicle_ownership_official,交通,自動車,軽自動車,西条市,令和5年,2023,48039,台,actual
vehicle_ownership_official,交通,自動車,原付,西条市,令和5年,2023,7207,台,actual
vehicle_ownership_official,交通,自動車,総数,西条市,令和6年,2024,96614,台,actual
vehicle_ownership_official,交通,自動車,普通自動車,西条市,令和6年,2024,19042,台,actual
vehicle_ownership_official,交通,自動車,小型自動車,西条市,令和6年,2024,17606,台,actual
vehicle_ownership_official,交通,自動車,軽自動車,西条市,令和6年,2024,47945,台,actual
vehicle_ownership_official,交通,自動車,原付,西条市,令和6年,2024,7130,台,actual
vehicle_ownership_official,交通,自動車,総数,西条市,令和7年,2025,96437,台,actual
vehicle_ownership_official,交通,自動車,普通自動車,西条市,令和7年,2025,19494,台,actual
vehicle_ownership_official,交通,自動車,小型自動車,西条市,令和7年,2025,17063,台,actual
vehicle_ownership_official,交通,自動車,軽自動車,西条市,令和7年,2025,47875,台,actual
vehicle_ownership_official,交通,自動車,原付,西条市,令和7年,2025,7045,台,actual
